site,sp._tree,n_trees,sp._seedling,other_sp._tree,treatment,LUI,seedling,Goat,Trenches,N_goat,trenchArea,no_trenches,trench-length,trench-width,No1,No2,No3,No4,No5,No6,No7,No8,No9,No10,No11,No12,No13,No14,No15,No16,No17,No18,No19,No20,No21,No22,No23,No24,No25,No26,No27,No28,No29,No30,No31,No32,No33,No34,No35,No36,No37,No38,No39,No40,No41,No42,No43,No44,No45,No46,No47,No48,No49,No50,No51,No52,No53,No54,No55,No56,57,58,59,data-trench-image_t,data-image_end,data-image_start,data-soil_erosion,data-lopping,data-fuelwood,data-fire19,data-trench-type,groundcover_bodha,data-latlong,tree_sp.,,,site
APA18_CPFA,6,11,5,1,dense,0.87,24,1.51,0.24,130,1.8,1,2,0.9,78,213,154,317,221,214,78,176,134,80,117,218,217,321,228,228,118,70,228,202,280,231,321,300,179,398,300,222,176,200,276,278,250,150,290,289,291,300,98,228,281,245,272,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1aG1yBFTTKojZzcxqCA5o71LXXYOML8mC,https://drive.google.com/open?id=1WW0GuexUozF0LIg1Z5hUJqAF7GwEiBCn,?rill erosion,no,no,yes,,,"14.0586892,78.3377172",,,,APA10bgpnf
APA20_CAFA,7,11,4,3,open,0.9,31,0.93,0.87,80,6.48,1.8,4,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1U64LnWVt-ZVSCGoNatUoW84JhYLcmH7P,https://drive.google.com/open?id=1w2Re5YftZTuYEwi0nWtaBPzmg5Oh_15k,?rill erosion,yes,no,yes,,,"14.0784771,78.329081",,,,APA19ab
APC8_CAFA,4,6,3,1,open,0.94,29,0.81,1.08,70,8,3.2,2.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1cTJBAwV4Z446EnzKNxHzeNPwzhXJB9Of,https://drive.google.com/open?id=1ikaq7I1hbzE9qhAhAc6usWFetxSG_eKd,?rill erosion,yes,no,yes,,,"13.8737925,78.5280008",,,,APA1ab
APC9_CAFA,5,7,3,2,open,1,41,1.51,0.5,130,3.7,1,3.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1CxgHJ2K4Ncrtjsfl6OgEIgriD-aAaryf,https://drive.google.com/open?id=1G1sf80KwN7zmv0oPoVoPXV7RGp6vXHKz,no,no,no,yes,,60,"13.8734111,78.5286271",,,,APA18bgrnf
APC1_CPFA,4,11,3,1,dense,1,8,1.16,0.85,100,6.3,2,3.5,0.9,176,241,215,117,201,90,198,197,257,316,289,278,245,316,317,313,295,289,291,294,80,306,290,213,313,100,309,298,308,291,312,291,287,304,298,287,90,303,235,178,196,167,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1tV9JvQmQzMZAgjrQSG269YkBP1ahtVhv,https://drive.google.com/open?id=1YFIucN_rJBOs-IJBFOSoxoyKTG-O668q,https://drive.google.com/open?id=1El709TZfBmaMUk3MvNChSdnP2a-GXzCJ,?sheet erosion,no,no,yes,ST,,"13.8504882,78.4431105",,,,APC14bgrnf
APA18_CAFA,2,10,3,-1,open,1.02,13,1.51,0.54,130,4,2,2.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1vdfaaD5rBfaeTvp2_4FANN3y8XHVAgdS,https://drive.google.com/open?id=1rFgVIZa7NjFMdFcCggyBk_kxdBOueSpe,https://drive.google.com/open?id=1vJoptXnVFVzWvRz8pCJqAiRo8A_4CtNC,?rill erosion,no,no,yes,ST,,"14.0556529,78.3436506",,,,APC1bgrnf
APA5_CAFA,0,0,3,-3,open,1.09,7,0.93,1.24,80,9.24,3.3,2.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1o2Ve4DYxQZxF2xqfxkkjTVRK7k8vUTZ9,https://drive.google.com/open?id=1JsAzPAjQyoVs8y7cV3zMQjyQCar57Lzr,https://drive.google.com/open?id=16Rs-RukfizLztFo9-vFsHQ26p_cPBQsh,?sheet erosion,no,no,yes,,70,"14.063944,78.3551024",,,,APC10bgrnf
APA20_Control,3,8,1,2,moderate,1.12,27,0.93,1.31,80,9.765,3.5,3.1,0.9,140,40,143,379,276,387,176,167,87,293,143,207,287,291,289,200,289,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1ry6BCS0yjOnA03JEmyxf4V1u0C3s1zMC,https://drive.google.com/open?id=1D6n0jLXNGq5SYXJXS0tNg_6cPcsRaJrU,https://drive.google.com/open?id=1IhXBmcQgk6q_fQ8GZ04ur5mZJxATspg2,no,no,no,yes,ST,,"14.0733066,78.3202519",,,,APC1ab
APC2_CPFA,6,8,2,4,dense,1.2,9,1.39,1.01,120,7.5,2.5,3,1,167,297,387,374,281,184,367,370,382,317,348,363,342,282,317,416,317,286,316,281,198,283,351,278,361,281,176,223,352,352,334,352,317,321,316,71,358,321,341,371,332,289,363,326,372,341,367,324,318,298,365,,,,,,,,,https://drive.google.com/open?id=1JmYQDcb6CMBBhLvYnJAThGPDUh1WulDK,https://drive.google.com/open?id=1lslw_poOw-owsRmwihlfDFoDbOf3d7ph,https://drive.google.com/open?id=1RUPkUSvmP_M83AW_d-w0AB_qnSHRzqHs,?rill erosion,no,no,yes,SCT,90,"13.8922583,78.4808939",,,,APC13bgrnf
APC1_Control,5,15,2,3,moderate,1.31,11,1.16,1.45,100,10.8,3,4,0.9,51,98,270,67,78,98,52,267,298,243,200,100,98,300,300,56,78,94,191,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=12eaDfhLtpZiIgQ2HuHW4cVMCCvpFj5ir,https://drive.google.com/open?id=1XO8wjcjl6LMAbu6eq_fLtBfe8UyiY0AI,?sheet erosion,yes,no,no,,40,"13.8530168,78.4431822",,,,APC2bgpnf
APA21_CAFA,5,10,3,2,open,1.38,24,0.58,2.18,50,16.2,3,6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=19ypNI2KSCWMKYk9kE2rjhFDEty4dnfvq,https://drive.google.com/open?id=1hKSWTUMs91kneivS1HYnKMLxwa2hPJSD,https://drive.google.com/open?id=1leojxMaS08t7_kQHOrEnVJgNX059p-6d,?sheet erosion,no,no,yes,ST,35,"14.0085217,78.3210492",,,,APA17bgpnf
APC10_CAFA,3,10,6,-3,open,1.4,11,1.86,0.94,160,7,2,3.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1hgpDoDnTW83TrQMQAYweL8L9pyOqXph3,https://drive.google.com/open?id=1gIA5LXfIAhV3Vp-xmsG9QL668OWrUIlH,https://drive.google.com/open?id=1_pQrf4pGkTaT-mmvp083CBx6xm01LCW0,no,no,no,yes,ST,,"13.8651378,78.3985715",,,,APC1bgpnf
APA19_Control,3,9,2,1,moderate,1.42,16,0.87,1.98,75,14.7,4.2,3.5,1,230,248,200,130,208,100,48,176,98,258,254,48,100,203,165,201,209,270,200,300,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1fDwLmxg3j0617p8efpwvQTVqHd1rNGbd,https://drive.google.com/open?id=1ugpIxW9_TXO4YcRaI86om_rkPfoegscR,https://drive.google.com/open?id=1y31NTU0XopHpyoc4CfExxZ07oDW6zEdL,no,no,no,yes,ST/CCT,35,"14.061697,78.3420385",,,,APC4ab
APC2_CAFA,5,6,3,2,open,1.5,24,1.39,1.61,120,12,5,3,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1aLo7bM8BStfq1-4b6BNCiv4kyfmu9bEz,https://drive.google.com/open?id=1rBdGJBWzA7bb9RcGcZqj64n7AulalNQJ,no,yes,no,no,,,"13.8957422,78.4772987",,,,APA5bgrnf
APA12_Control,5,9,3,2,moderate,1.51,6,0.58,2.43,50,18.09,6.7,3,0.9,98,93,301,213,203,50,98,67,264,294,198,210,291,65,287,245,300,291,278,183,100,98,128,145,73,71,56,98,201,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1hPMD26IoyHiCEwJ9SSMWo6NZudpaF19X,https://drive.google.com/open?id=1KND2x9j9ryc1dL3YrTVPnFvl4kzZo6kS,no,yes,no,yes,,,"14.0411319,78.3177564",,,,APA12ab
APC10_Control,2,10,2,0,moderate,1.52,24,1.74,1.29,150,9.6,4,3,0.8,102,310,295,315,305,455,89,204,167,302,180,206,300,300,290,197,322,310,210,305,298,180,287,202,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1iu_itBt0yMY9sySneoIVpgX765dIc9Ol,https://drive.google.com/open?id=1y7en3S4HAquYh3vnR3C7zRg6Zy7g1FZA,https://drive.google.com/open?id=1iiPFUgzzl4Cy4VDaiVXczqy6yAlFtWCF,no,no,no,yes,,65,"13.8619826,78.4331152",,,,APA12bgrnf
APA12_CAFA,3,7,3,0,open,1.56,6,0.58,2.54,50,18.9,7,3,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1bCzPa7qa5w41DgonlwL19QNHHclu9WZT,https://drive.google.com/open?id=1GUP-vvHTzRp3ErSysi41SHyLdmMsSVSE,no,no,no,yes,CCT,80,"14.0405477,78.3173874",,,,APA15bgpnf
APC13_CAFA,5,5,4,1,open,1.62,10,0.81,2.42,70,18,4,5,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1pA-n2w3nWMx47xIxAOO6nBBRSWW9ISb2,https://drive.google.com/open?id=1AzhS_c7eVGmcgaNQWjppgESQZ91S27Yk,https://drive.google.com/open?id=1uoILNQ7SnnTW2nRCpyin7iu5OgrxsM_N,?sheet erosion,yes,no,yes,CCT,,"13.9055454,78.5020869",,,,APC13bgpnf
APC12_Control,2,10,0,2,moderate,1.64,0,0.58,2.69,50,20,5,5,0.8,64,210,114,89,209,178,203,187,215,256,315,317,316,200,261,361,216,98,67,261,271,202,217,303,211,51,209,61,60,102,82,52,302,298,178,140,230,271,271,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1N_SJoTxWrc8gioMc341stzU1JQOQy7hz,https://drive.google.com/open?id=1Uqht5n-caUE6jZTYee47uUq90TSvWPme,?sheet erosion,no,no,yes,ST,,"13.8695393,78.4178393",,,,APA7ab
APA19_CPFA,3,10,0,3,dense,1.65,0,0.87,2.42,75,18,4.5,4,1,241,341,315,344,321,256,261,351,245,233,334,256,364,300,288,372,366,298,371,376,375,382,275,256,200,376,300,298,351,367,356,351,104,332,365,341,315,200,316,341,361,352,298,352,353,361,334,341,343,351,352,353,300,278,267,245,,,,https://drive.google.com/open?id=1ilG4kYocnHxv60XN8gVRhR1g43COlZe9,https://drive.google.com/open?id=1MgIvxRJC7tXRcxPlu9bluyEyWSSp5Jwc,https://drive.google.com/open?id=1d91Z-LqoxnGIIGOkFflB-F2mR4o2VYju,?sheet erosion,no,no,yes,,,"14.0588854,78.3438302",,,,APC12bgrnf
APC1_CAFA,2,5,1,1,open,1.66,11,1.16,2.15,100,16,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=130AOrGtBoW_2ZNNH-P22NlXM9-zlrFmk,https://drive.google.com/open?id=1A_K2Qi2-jP4c6JSiVTRfYqlscgsB5eLU,https://drive.google.com/open?id=145XuEcXpe-2HLMEg0DkbCnzigcdi9hXt,?sheet erosion,no,no,yes,CCT,,"13.8489122,78.4285058",,,,APC11ab
APC11_CAFA,0,0,0,0,open,1.68,0,1.74,1.61,150,12,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1UXZVrmXeJlLZKkGTPd_7cTjOX96rx1R4,https://drive.google.com/open?id=1zQLm8m1LdOfiPX2sMbMIWBS8Cvvsl05m,?sheet erosion,no,no,no,ST,,"13.8380895,78.41051",,,,APC6bgrnf
APC12_CPFA,1,10,0,1,dense,1.74,0,0.58,2.91,50,21.6,8,3,0.9,212,314,356,345,317,378,278,276,318,389,343,212,147,313,314,288,288,302,300,289,223,118,371,332,342,323,332,341,361,223,267,214,341,315,80,280,315,341,334,316,387,378,373,389,200,100,316,341,356,347,365,217,316,367,354,280,287,255,287,,https://drive.google.com/open?id=18RUx-Fp6yRM2UOM2J8c_lJA4B_CYVXIA,https://drive.google.com/open?id=1IGMhRJirutKoAqYGcZDYdlbs9bVjHz1K,no,no,no,yes,CCT,90,"13.8926166,78.4133712",,,,APC7bgrnf
APC14_CAFA,3,6,4,-1,open,1.85,12,2.09,1.61,180,12,5,3,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1iT_ztdlWr6-EsPgRIPPcdD6uvmPBfqlf,https://drive.google.com/open?id=1QirXgIPjhI2DPLlnmOCahRsnyyhGrkPp,https://drive.google.com/open?id=1Ha5UZ4gc8VQ82wKMeOC0ZC-3lPWtfzDV,no,no,no,yes,ST,,"13.9049878,78.5041513",,,,APC11bgrnf
APC12_CAFA,2,10,0,2,open,1.92,0,0.58,3.27,50,24.3,6,4.5,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1wBcjoRStvdUwhdGKqxxIO7ZJDaA68cTH,https://drive.google.com/open?id=1Y5vj-j4gh6vtCwIKPRc7GNaZEqWpu9h2,https://drive.google.com/open?id=10zVqlYE6u_GhpdY_mtF_yoBj8CAdVwO8,?sheet erosion,no,no,yes,,75,"13.8943952,78.4131966",,,,APC12bgpnf
APC6_CAFA,1,4,0,1,open,2.5,0,2.09,2.91,180,21.6,6,4,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1y8lDAizwP5VGlruCLbENtVpTkfPbDBrW,https://drive.google.com/open?id=19L0JqspXRLYOzLZG79vz0i45-JmImVan,https://drive.google.com/open?id=1m_z6RfAonF7V8buKbJuMeDCMXW-Byghc,no,no,no,yes,ST,70,"13.939726,78.4933375",,,,APA19bgpnf
APC7_CAFA,2,6,0,2,open,2.76,0,0.81,4.71,70,35,5,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=11WtZm0vbHm6kQEojt869yK5ZrH1Gx6Ct,https://drive.google.com/open?id=19fQ-yx1oSYt5ghB4tefisuIRiHeCFgqs,https://drive.google.com/open?id=1KZYC0Xoq5WxFA82nwMpE5a4FleFbUfXc,?sheet erosion,no,no,yes,ST,,"13.9404775,78.4954049",,,,APC12ab
APC6_Control,2,5,0,2,moderate,2.86,0,2.09,3.63,180,27,4.5,6,1,114,151,214,150,78,311,250,251,203,201,203,207,204,54,209,89,206,305,201,298,205,204,105,106,156,107,110,267,87,212,278,297,301,317,289,317,217,218,301,298,98,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1lgc7PJmaKqC3r7LfnZlGkJAzQ0arS25s,https://drive.google.com/open?id=1HK_gAK5WmcSnIjH6p3_TBC5XFwCyzi0z,https://drive.google.com/open?id=1gSl3NokX9jpLxw7oiovI1YKOIWKeCcST,no,no,no,yes,,60,"13.9407402,78.4941058",,,,APC6ab
